2026-04-28 11:25:19,306 P10604 INFO Params: {
    "clients_num_per_turn": "604",
    "data_dir": "/Users/jing/Documents/20260109/Experiments/FedPEFT-main/data/ml-1m/processed/t5/",
    "dataloader": "MLDataLoaderFL",
    "dataset_id": "ML1M_t5",
    "device": "-1",
    "dropout": "0.5",
    "embedding_dim": "32",
    "embedding_regularizer": "1e-08",
    "g_hidden_activations": "ReLU",
    "g_hidden_units": "[512, 256, 128]",
    "hidden_activations": "ReLU",
    "hidden_units": "[64, 128, 64]",
    "item_num": "3952",
    "latent_dim": "4",
    "learning_rate": "0.001",
    "local_epoch": "2",
    "loss_fn": "bpr_loss",
    "metrics": "['logloss', 'MRR', 'NDCG(5)', 'HR(5)', 'NDCG(10)', 'HR(10)', 'NDCG(20)', 'HR(20)', 'NDCG(50)', 'HR(50)']",
    "model": "FedMF_Lora",
    "model_dir": "/Users/jing/Documents/20260109/Experiments/FedPEFT-main/data/ml-1m/model/t5/",
    "model_id": "FedNCF_ml1m_triple_101",
    "net_regularizer": "1e-08",
    "only_inter": "False",
    "optimizer": "adam",
    "output_dim": "1",
    "path": "/Users/jing/Documents/20260109/Experiments/FedPEFT-main/data/ml-1m/processed/t5/",
    "pre_epoch": "3000",
    "seed": "2024",
    "sen_embedding_dim": "768",
    "task": "triple",
    "train_turn": "1000",
    "user_num": "6040"
}
2026-04-28 11:25:23,099 P10604 INFO Model embedding_item.emb.weight size: 0.06030273MB
2026-04-28 11:25:23,100 P10604 INFO Model embedding_item.linear.weight size: 0.00048828MB
2026-04-28 11:25:23,100 P10604 INFO Model embedding_p.weight size: 0.48242188MB
2026-04-28 11:25:23,101 P10604 INFO Model all size: 0.54321289MB
2026-04-28 11:25:23,241 P10604 INFO loss: 11.79576301574707 for iter: 0
2026-04-28 11:25:23,308 P10604 INFO loss: 11.755776405334473 for iter: 1
2026-04-28 11:25:23,369 P10604 INFO loss: 11.715912818908691 for iter: 2
2026-04-28 11:25:23,431 P10604 INFO loss: 11.676167488098145 for iter: 3
2026-04-28 11:25:23,494 P10604 INFO loss: 11.636544227600098 for iter: 4
2026-04-28 11:25:23,555 P10604 INFO loss: 11.59703540802002 for iter: 5
2026-04-28 11:25:23,621 P10604 INFO loss: 11.55765151977539 for iter: 6
2026-04-28 11:25:23,683 P10604 INFO loss: 11.518381118774414 for iter: 7
2026-04-28 11:25:23,744 P10604 INFO loss: 11.479239463806152 for iter: 8
2026-04-28 11:25:23,807 P10604 INFO loss: 11.440213203430176 for iter: 9
2026-04-28 11:25:23,870 P10604 INFO loss: 11.401333808898926 for iter: 10
2026-04-28 11:25:23,939 P10604 INFO loss: 11.362560272216797 for iter: 11
2026-04-28 11:25:24,014 P10604 INFO loss: 11.323949813842773 for iter: 12
2026-04-28 11:25:24,080 P10604 INFO loss: 11.285446166992188 for iter: 13
2026-04-28 11:25:24,142 P10604 INFO loss: 11.247068405151367 for iter: 14
2026-04-28 11:25:24,206 P10604 INFO loss: 11.208840370178223 for iter: 15
2026-04-28 11:25:24,271 P10604 INFO loss: 11.170730590820312 for iter: 16
2026-04-28 11:25:24,333 P10604 INFO loss: 11.132774353027344 for iter: 17
2026-04-28 11:25:24,397 P10604 INFO loss: 11.09493637084961 for iter: 18
2026-04-28 11:25:24,459 P10604 INFO loss: 11.057235717773438 for iter: 19
2026-04-28 11:25:24,523 P10604 INFO loss: 11.019649505615234 for iter: 20
2026-04-28 11:25:24,587 P10604 INFO loss: 10.982227325439453 for iter: 21
2026-04-28 11:25:24,651 P10604 INFO loss: 10.94494342803955 for iter: 22
2026-04-28 11:25:24,713 P10604 INFO loss: 10.907767295837402 for iter: 23
2026-04-28 11:25:24,777 P10604 INFO loss: 10.870729446411133 for iter: 24
2026-04-28 11:25:24,838 P10604 INFO loss: 10.8338623046875 for iter: 25
2026-04-28 11:25:24,943 P10604 INFO loss: 10.797121047973633 for iter: 26
2026-04-28 11:25:25,010 P10604 INFO loss: 10.760496139526367 for iter: 27
2026-04-28 11:25:25,072 P10604 INFO loss: 10.724028587341309 for iter: 28
2026-04-28 11:25:25,136 P10604 INFO loss: 10.687679290771484 for iter: 29
2026-04-28 11:25:25,200 P10604 INFO loss: 10.651473999023438 for iter: 30
2026-04-28 11:25:25,264 P10604 INFO loss: 10.615412712097168 for iter: 31
2026-04-28 11:25:25,328 P10604 INFO loss: 10.57950210571289 for iter: 32
2026-04-28 11:25:25,392 P10604 INFO loss: 10.543707847595215 for iter: 33
2026-04-28 11:25:25,454 P10604 INFO loss: 10.508045196533203 for iter: 34
2026-04-28 11:25:25,517 P10604 INFO loss: 10.472535133361816 for iter: 35
2026-04-28 11:25:25,581 P10604 INFO loss: 10.43715763092041 for iter: 36
2026-04-28 11:25:25,644 P10604 INFO loss: 10.401906967163086 for iter: 37
2026-04-28 11:25:25,707 P10604 INFO loss: 10.366819381713867 for iter: 38
2026-04-28 11:25:25,770 P10604 INFO loss: 10.331831932067871 for iter: 39
2026-04-28 11:25:25,832 P10604 INFO loss: 10.29699420928955 for iter: 40
2026-04-28 11:25:25,894 P10604 INFO loss: 10.26229190826416 for iter: 41
2026-04-28 11:25:25,956 P10604 INFO loss: 10.227731704711914 for iter: 42
2026-04-28 11:25:26,025 P10604 INFO loss: 10.193294525146484 for iter: 43
2026-04-28 11:25:26,088 P10604 INFO loss: 10.1589994430542 for iter: 44
2026-04-28 11:25:26,152 P10604 INFO loss: 10.124804496765137 for iter: 45
2026-04-28 11:25:26,215 P10604 INFO loss: 10.090790748596191 for iter: 46
2026-04-28 11:25:26,278 P10604 INFO loss: 10.056879997253418 for iter: 47
2026-04-28 11:25:26,342 P10604 INFO loss: 10.023100852966309 for iter: 48
2026-04-28 11:25:26,406 P10604 INFO loss: 9.989458084106445 for iter: 49
2026-04-28 11:25:26,471 P10604 INFO loss: 9.955960273742676 for iter: 50
2026-04-28 11:25:26,534 P10604 INFO loss: 9.92255687713623 for iter: 51
2026-04-28 11:25:26,597 P10604 INFO loss: 9.889291763305664 for iter: 52
